Subject,Description,Status
CHƯƠNG TRÌNH ƯU ĐÃI NGÀY ĐẶC BIỆT QUÝ 4/2022 - GIẢM 50% TỐI ĐA 50K,,20/10/2022
TAPTAP – SĂN DEAL HỜI VỪA VUI VỪA LỜI CHỈ VỚI ‘5 – 10 VUI’,,20/10/2022
ƯU ĐÃI ĐẶC BIỆT TẠI SWENSEN’S TRẦN DUY HƯNG,,20/10/2022
ƯU ĐÃI 20/10_ÁP DỤNG TẶNG GỐI CỔ CON VOI & E-VOUCHER GIẢM 20% HÓA ĐƠN,,20/10/2022
FLASH SALE 22/10 – ƯU ĐÃI MUA 1 TẶNG 1 HỘP KEM,,22/10/2022
CHƯƠNG TRÌNH LSM TẠI DQ GO! NHA TRANG VÀ DQ NHA TRANG CENTER,,24/10/2022
GIA HẠN THỨC UỐNG COFFEE LATTE,,24/10/2022
AKA HOUSE x TAPTAP – BIỆT ĐỘI GIẢI CỨU CHIẾC VÍ CUỐI THÁNG,,24/10/2022
GIẢM 15% TRÊN TỔNG HÓA ĐƠN DÀNH CHO TẤT CẢ NHÂN VIÊN JUMP ARENA,,25/10/2022
RA MẮT SẢN PHẨM MỚI “HALLOWEEN SUNDAE”,,25/10/2022
LSM – MOBILE EVENT SWENSEN’S AEON MALL HÀ ĐÔNG,,28/10/2022
FLASH SALE 28/10 – MUA 1 TẶNG 1 HỘP KEM 400GR,,28/10/2022
LSM – MOBILE EVENT – QUÝ IV,,28/10/2022
TRIỂN KHAI HỢP TÁC GOFOOD TẠI CỬA HÀNG DAIRY QUEEN AEON MALL BÌNH DƯƠNG,,29/10/2022
ƯU ĐÃI GIẢM 10% TRÊN HÓA ĐƠN CHO SẢN PHẨM DILLY BAR,,31/10/2022
ĂN TRƯA “HEO – THÌ” NHẬN NGÀY VOUCHER ƯU ĐÃI GIẢM 100.000VNĐ CHO HÓA ĐƠN TỪ 300.00VNĐ TẠI AKA HOUSE,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC BAEMIN THÁNG 11/2022,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC BAEMIN THÁNG 11/2022,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC GO FOOD THÁNG 11/2022,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC GO FOOD THÁNG 11/2022,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC GRAB FOOD THÁNG 11/2022,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI GRAB REWARDS_THÁNG 11/2022_E-VOUCHER GIẢM 150K CHO HÓA ĐƠN TỪ 300K,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI SHOPEEFOOD_THÁNG 11/2022,,1/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI SHOPEEFOOD_THÁNG 11/2022,,1/11/2022
CHƯƠNG TRÌNH ƯU ĐÃI CHĂM SÓC KHÁCH HÀNG_ECODE GIẢM 100K CHO HÓA ĐƠN TỪ 300K,,1/11/2022
CHƯƠNG TRÌNH ƯU ĐÃI HỢP TÁC beREWARD_ƯU ĐÃI GIẢM 50K HÓA ĐƠN TỪ 200K,,1/11/2022
"COMBO TIỆC THÁI, VUI LỄ LOY KRATHONG",,1/11/2022
DELIVERY – COMBO GIÁ ƯU ĐÃI SỐC GIẢM TẬN 30% TRÊN KÊNH GRABFOOD_SHOPEEFOOD_GOFOOD_BAEMIN,,1/11/2022
ĐƯA SẢN PHẨM “SUMMER FRUIT DRINKS” VÀO MENU CHÍNH,,1/11/2022
HỢP TÁC GRAB REWARDS – TẶNG KEM BEAUTIFUL SUNDAE CHO HÓA ĐƠN TỪ 160.000Đ,,1/11/2022
HỢP TÁC GRAB REWARDS – ƯU ĐÃI 40% TỐI ĐA 80.000Đ TRÊN HÓA ĐƠN,,1/11/2022
HỢP TÁC GRAB REWARDS_ÁP DỤNG E-VOUCHER GIẢM 30% HÓA ĐƠN,,1/11/2022
LSM CẦN THƠ & MỸ THO – ƯU ĐÃI ĐI 4 TÍNH 3,,1/11/2022
LTO CARAMEL POPCORN BLIZZARD – CẬP NHẬT & GIA HẠN,,1/11/2022
